,AUD_3Y,AUD_10Y,CAD_10Y,FRA_10Y,GBP_2Y,GBP_10Y,GER_2Y,GER_5Y,GER_10Y,GER_30Y,ITA_10Y,JPY_10Y,KRW_10Y,SPA_10Y,USD_2Y,USD_5Y,USD_10Y,USD_20Y,USD_30Y,ZAR_10Y,AUD_3M,CAD_3M,CHF_3M,EUR_3M,GBP_3M,JPY_3M,USD_3M
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-05,-0.0013643740539001081,-0.006413409458033037,-0.002099696710475274,,,-0.003259779338014024,0.0,9.17431192661855e-05,-0.00034305317324179185,0.0021824897171158764,,0.004445137643297459,,,-0.0008868524129775901,-0.00234482758620691,-0.0028894142369320086,-0.005883795047805784,,,-0.00010488777008610395,0.00010505305179120406,0.0006096941367748077,5.161290322575063e-05,-0.0001058873358745771,0.00040290088638195165,-5.261219550689589e-05
1999-01-06,-0.0013639603496182762,-0.0049016229338741946,0.0003896508728180592,,,-0.0007547169811320531,0.0004760997905159936,0.00027520410971471065,0.0018016472203157274,0.005611860289806536,,0.006909937888198714,,,0.00014793993638573255,0.001106041753076159,0.0018440463645943428,0.00641183723797778,,,-0.0002097975453686507,0.00021008403361344463,-0.0002031075454452802,0.00010322047894306685,-0.0003176956475696713,0.0,-0.00015784489108705557
1999-01-07,0.0019127909882235006,0.006447403005036545,-0.0007789982083040714,,,0.0025176233635448853,0.000571047872846675,0.00018341892883344535,-0.0011989380834118712,-0.004497751124437843,,0.013802143573135917,,,-0.00022187708009757667,-0.0015191271923767902,-0.002892453326321376,-0.007841215388385225,,,0.0004196831392297984,0.0,0.0007110208227525394,0.00020641965115064664,0.0009533898305083,0.0,5.262327000998823e-05
1999-01-08,-0.0013641258126431133,-0.006781351448133743,-0.005223356981367555,,,0.0015067805123054612,0.0005707219632835603,0.0009169264624977469,0.0016290834262195908,0.0006693440428380271,,-0.013157894736842035,,,-0.0014055333629234834,-0.003457814661134151,-0.005801687763713037,-0.01086688071128672,,,-0.00031463030938649883,-0.000945179584120992,0.00010150223304927763,0.0,-0.0001058313048999393,0.0,-0.00026310250473571273
1999-01-11,-0.006254290384021699,-0.016820802547084512,-0.0011755485893416573,,,-0.0033433634236041954,-0.0005703964255157068,-0.0010993037742762501,-0.0071905495634307925,-0.010869565217391242,,0.005626204238921018,,,-0.00044447736869401844,-0.001387925052047212,-0.002122015915119402,-0.003495630461922583,,,-0.001573646663868944,-0.00042047724166915934,-0.00030447579417436366,-0.0001031885254358933,0.0002116850127009684,-0.00010068465565837847,-0.000157903047528829
1999-01-12,-0.002449628628735212,-0.0052500383585979415,0.0011769321302470548,,,-0.0042770882254276055,0.0011414439265671206,0.0032098312545854046,0.0066390757027072755,0.008875739644970349,,-0.0007664009809932315,,,0.001037575038909111,0.0025017373175817426,0.0034556087187667117,0.005011275369581458,,,-0.0008406010297362654,0.0,0.0006091370558376497,0.00010319917440648751,0.0,0.00010069479407914805,0.00021057064645191303
1999-01-13,0.004096836484562383,0.012495581866524219,0.004388714733542409,,,0.006569527499368233,0.0005700712589074008,0.0009141603437241574,0.0023982869379015614,-0.0009216589861751334,,0.003221352968246771,,,0.001850892130006665,0.003465964231249119,0.003973509933774766,0.005734230865120926,,,0.0007361447050162617,0.0003154905878641756,0.0011160714285713969,0.0003611598390258486,0.0003174603174602719,0.000201369311316979,0.00031578947368426924
1999-01-14,-0.0010900272699794211,-0.0018821020447481462,0.004369538077403368,,,0.0014224751066855834,0.000569746462824039,0.0013699881267696945,0.00247799709476193,0.0016772895001677668,,0.004587155963302614,,,0.0019213715637007578,0.004144791378833945,0.005013192612137285,0.009667823500247863,,,-0.00031525851197988786,0.00021026072329677348,0.0003040437823047526,0.0001547269070092394,-0.00021157304559393797,0.00020132876988121495,0.0004735346732611667
1999-01-15,0.0032780206222975394,0.0121443591767314,-0.005205096333126047,,,-0.0020053475935829512,0.00047451836386058766,0.00045603794235682393,-0.001108080463689043,0.0018419290020093015,,0.0,,,-0.0019176869744800262,-0.003302146395156802,-0.004463113678130792,-0.005892462558310774,,,0.0005255965520867267,-0.00031532478452811485,-5.065856129693458e-05,0.00025783828382852647,0.0,0.0,-5.259006047864112e-05
1999-01-18,-0.0024517077476695626,-0.006021668157316529,-0.0003904724716908836,,,-0.0006697923643670389,0.00037943464238288094,0.001002826146412561,0.001791961771482331,0.0027578138057831048,,-0.004490106544901118,,,0.0,0.0,0.0,0.0,,,-0.0003151922672830487,-0.00021028283040680495,-0.00025330563858338984,0.00036088054853844476,0.00010580890911016105,0.0,0.0
1999-01-19,0.0,-0.0007540994939972956,-0.0012499999999999734,,,-0.0004189008042895237,0.0,-0.00036429872495435944,0.0006814310051106443,0.0024168680723393177,,-0.005733506612644268,,,-0.0003694945314809406,-0.0006902263942573095,-0.0007911392405063333,0.0002469745616202612,,,0.0,-0.00042065411715219714,0.00010134792743499155,0.00020614306328603504,-0.0007405840033855027,-0.00010064412238330878,-0.00010518565267692015
1999-01-20,-0.001089961171208853,-0.00037707086230842624,-0.0023466833541927468,,,0.0018439359651327702,-0.000663758771098033,-0.0020043731778425222,-0.0034899557371468326,-0.0036581310276022627,,0.004997693372289724,,,-0.0008871146595696988,-0.0015195468987428962,-0.002375296912114022,-0.004444444444444473,,,-0.00031529164477139826,-0.0002104155707521871,-0.0008107012565871097,-0.00025762572135212825,0.00010587612493373477,0.00020130850528454758,-0.00021039343572470948
